"","artist","wiki_uri"
"1","""Weird Al"" Yankovic","https://www.wikidata.org/wiki/Q8349"
"6","(+44)",""
"7","10 years",""
"8","112","https://www.wikidata.org/wiki/Q170487"
"15","2 Chainz","https://www.wikidata.org/wiki/Q129668"
"63","2 Pistols","https://www.wikidata.org/wiki/Q222862"
"64","21 Savage","https://www.wikidata.org/wiki/Q25095399"
"88","2gether",""
"89","3 Doors Down","https://www.wikidata.org/wiki/Q175097"
"100","311",""
"101","3LW","https://www.wikidata.org/wiki/Q1771216"
"104","3OH!3","https://www.wikidata.org/wiki/Q229496"
"116","5 Seconds of Summer","https://www.wikidata.org/wiki/Q4641147"
"128","50 Cent","https://www.wikidata.org/wiki/Q6060"
"153","50 cent feat. mobb deep",""
"154","504 boyz",""
"155","6ix9ine","https://www.wikidata.org/wiki/Q44479972"
"163","6LACK","https://www.wikidata.org/wiki/Q27886640"
"164","702",""
"165","78violet","https://www.wikidata.org/wiki/Q269646"
"170","98 Degrees","https://www.wikidata.org/wiki/Q277230"
"173","A Boogie wit da Hoodie","https://www.wikidata.org/wiki/Q27927826"
"180","A Great Big World","https://www.wikidata.org/wiki/Q15136158"
"183","a perfect circle",""
"185","a rocket to the moon",""
"186","A Thousand Horses","https://www.wikidata.org/wiki/Q19864280"
"187","A Tribe Called Quest","https://www.wikidata.org/wiki/Q300602"
"188","A-Trak","https://www.wikidata.org/wiki/Q277976"
"189","A. R. Rahman","https://www.wikidata.org/wiki/Q108560"
"191","a*teens",""
"192","Aaliyah","https://www.wikidata.org/wiki/Q11617"
"200","Aaron Carter","https://www.wikidata.org/wiki/Q301818"
"202","aaron lewis",""
"203","aaron lewis of staind",""
"204","Aaron Lines","https://www.wikidata.org/wiki/Q302287"
"205","Aaron Tippin","https://www.wikidata.org/wiki/Q302860"
"207","Ace Hood","https://www.wikidata.org/wiki/Q340019"
"211","Action Bronson","https://www.wikidata.org/wiki/Q2823641"
"212","Adam Lambert","https://www.wikidata.org/wiki/Q190231"
"222","adam levine",""
"224","Adam Wakefield","https://www.wikidata.org/wiki/Q39086084"
"226","Adele","https://www.wikidata.org/wiki/Q23215"
"239","aerosmith",""
"240","afi",""
"242","Afrojack","https://www.wikidata.org/wiki/Q349041"
"246","Afroman","https://www.wikidata.org/wiki/Q225855"
"247","AJR","https://www.wikidata.org/wiki/Q16154058"
"249","Akon","https://www.wikidata.org/wiki/Q32849"
"263","alabama shakes",""
"264","Alan Jackson","https://www.wikidata.org/wiki/Q380927"
"284","Alan Walker","https://www.wikidata.org/wiki/Q21808729"
"285","Alanis Morissette","https://www.wikidata.org/wiki/Q130742"
"287","Alejandro Sanz","https://www.wikidata.org/wiki/Q276170"
"288","Alessia Cara","https://www.wikidata.org/wiki/Q20090091"
"292","Alesso","https://www.wikidata.org/wiki/Q965455"
"293","Alex Clare","https://www.wikidata.org/wiki/Q950204"
"294","Alexandra Stan","https://www.wikidata.org/wiki/Q1453"
"295","alice deejay",""
"296","alice in chains",""
"297","Alice Merton","https://www.wikidata.org/wiki/Q29016765"
"298","Alicia Keys","https://www.wikidata.org/wiki/Q121507"
"315","alien ant farm",""
"316","Alisan Porter","https://www.wikidata.org/wiki/Q521790"
"317","Alison Gold","https://www.wikidata.org/wiki/Q18719111"
"318","all star tribute",""
"319","all time low",""
"320","Aloe Blacc","https://www.wikidata.org/wiki/Q49319"
